"","gene","logFC","p"
"760","Rv0730",0.885064921207349,7.78154858290796e-06
"836","Rv0732",-0.635769399050897,1.17260377767163e-05
"1618","Rv0733",-0.62211919881923,0.000358626514542064
"1876","Rv0734",-0.379175834510784,0.00102275928647455
"2582","Rv0735",0.330126841864275,0.0185850319852158
"211","Rv0738",1.87613481213222,1.86943179816747e-07
"2138","Rv0739",0.577058567722541,0.00314726974018568
"2405","Rv0740",0.527353074719518,0.00951509782433282
"2358","Rv0743c",0.449398776872036,0.00749559849074875
"909","Rv0744c",0.918303599923671,1.60908318824443e-05
"561","Rv0746",-1.24888577881066,2.4885141516282e-06
"2457","Rv0747",0.336179482052116,0.0115626987437157
"2810","Rv0748",0.34386173675532,0.0497794137815024
"2302","Rv0749",-0.759303516582603,0.00571443926675415
"1276","Rv0751c",0.518258461505478,7.79086704457508e-05
"984","Rv0755c",0.679129188994334,2.12943126185672e-05
"2175","Rv0756c",0.30328000878559,0.00351205782557901
"835","Rv0757",0.770076026699559,1.16763880728314e-05
"2523","Rv0758",0.285724506550294,0.0147153961467532
"2173","Rv0759c",0.353467243588084,0.00351205782557901
"1019","Rv0760c",0.884982725172383,2.47586484547785e-05
"1737","Rv0761c",0.431488869126664,0.000568271473845582
"1224","Rv0764c",1.82784357447173,6.19779097360207e-05
"2252","Rv0766c",0.714967188870702,0.00469630940084178
"975","Rv0767c",1.44715729127115,2.04796337770106e-05
"645","Rv0768",1.284039026603,4.10482494457064e-06
"1907","Rv0769",0.826950605389084,0.0011821776201338
"1935","Rv0772",-0.594327759116499,0.00133615080621283
"694","Rv0773c",-0.987465644142032,5.05969951120957e-06
"2506","Rv0774c",-0.22184351289317,0.0136909196495361
"1315","Rv0778",-0.512695360064771,9.80376262409873e-05
"2269","Rv0780",-0.590725591469674,0.00490689824184592
"2612","Rv0783c",-0.233672998050529,0.0200513588216215
"1490","Rv0784",-0.663702398442482,0.000197013797960762
"1614","Rv0785",-0.568791209228455,0.000357850084338267
"686","Rv0786c",0.873765581721072,4.93836809352394e-06
"1766","Rv0789c",1.08817496323662,0.000655377878997497
"1118","Rv0794c",0.695765289266796,3.85734197993568e-05
"1249","Rv0798c",-0.72761290193756,6.90619500875543e-05
"614","Rv0799c",-0.888327463177031,3.28562438159514e-06
"1588","Rv0801",0.753490129218577,0.000330124253330393
"1976","Rv0802c",0.538146644508281,0.00162511730909472
"449","Rv0803",-0.971192000400218,1.09100633978743e-06
"1039","Rv0804",-0.972128885470984,2.78127773487077e-05
"2425","Rv0805",0.271560443012927,0.0101631827647889
"1857","Rv0806c",0.711899694984904,0.000966036216730802
"873","Rv0807",1.16396359870096,1.4077737138308e-05
"249","Rv0808",1.75561302094582,3.05938344282313e-07
"2136","Rv0809",0.741340935893795,0.00314566360985313
"649","Rv0810c",1.22173510785863,4.18938316265255e-06
"730","Rv0812",-1.01043339624054,6.49208386828173e-06
"2678","Rv0813c",-0.262335136878352,0.0270904705404178
"1968","Rv0814c",1.12834434662749,0.00154223683326669
"2237","Rv0817c",-0.744919066987969,0.00447485430930349
"1973","Rv0818",0.30222463205415,0.0016092210047649
"484","Rv0819",-1.06873706547047,1.44810185831862e-06
"949","Rv0820",-0.911879369903837,1.82899016197892e-05
"652","Rv0821c",0.741703461742917,4.20146329841504e-06
"532","Rv0822c",-0.853260409780976,2.09589889368952e-06
"1643","Rv0823c",0.347449558569565,0.000383446696292219
"445","Rv0824c",1.12811169479698,1.04005855150591e-06
"1495","Rv0825c",0.834599300863561,0.000205288071189125
"146","Rv0827c",1.74827899442401,5.76991633791703e-08
"2078","Rv0830",0.489055627307005,0.00254390930658357
"2164","Rv0831c",-0.261340867956485,0.00345987185891942
"1035","Rv0832",-0.82796223721003,2.72801535259254e-05
"436","Rv0834c",0.994294469501963,1.01376152656174e-06
"2514","Rv0836c",-1.32968612506693,0.0140429516357739
"2153","Rv0838",-0.471875122565598,0.00332296867057625
"911","Rv0839",0.861916836395361,1.62147196763552e-05
"1864","Rv0843",0.889201771149434,0.00098740262820779
"1798","Rv0844c",-0.374084304236896,0.000771673132713452
"913","Rv0845",-1.08743810243825,1.63477167392742e-05
"82","Rv0846c",3.89760536704073,1.36126190206678e-08
"57","Rv0847",4.64051818872455,7.17826033613269e-09
"66","Rv0848",3.81065077729133,8.59524243792173e-09
"188","Rv0849",4.03330562902164,1.50441053862106e-07
"1411","Rv0852",1.02766743896754,0.000141998619782879
"1269","Rv0853c",0.574844156576116,7.49348489383891e-05
"626","Rv0854",1.15030588317802,3.59507946612868e-06
"1993","Rv0856",0.577129046839827,0.00174460609067931
"264","Rv0859",1.20940923776483,3.27642684698516e-07
"279","Rv0860",0.973003841635656,3.60789689701453e-07
"914","Rv0861c",-0.670743884803828,1.64298195980911e-05
"512","Rv0862c",-0.98629753369904,1.83659720395494e-06
"2650","Rv0863",0.25672949472319,0.0242580847478893
"936","Rv0864",-0.649655333975213,1.76131520994087e-05
"52","Rv0867c",-2.70565130168795,5.88868722513756e-09
"265","Rv0869c",1.13520037996877,3.27642684698516e-07
"337","Rv0870c",1.29623841307235,5.74638681066041e-07
"194","Rv0872c",1.60415500306876,1.63742524041122e-07
"421","Rv0873",0.9297113355268,9.58452021912422e-07
"1974","Rv0874c",0.427523114519659,0.0016092210047649
"2795","Rv0875c",-0.296736948369689,0.0478706715281266
"350","Rv0877",0.861967565057099,6.21356784684331e-07
"2288","Rv0879c",0.377224602967495,0.00543179124962292
"2602","Rv0880",-0.446473249066285,0.0193586733128181
"2016","Rv0881",-0.754663154628038,0.00200062512373401
"2316","Rv0883c",0.336377236585982,0.0059345362246602
"1237","Rv0884c",0.564533646372067,6.55480736708863e-05
"832","Rv0886",-0.898860369048824,1.14936465242775e-05
"1121","Rv0888",1.11395919763442,3.9038219543654e-05
"2389","Rv0889c",0.233170412259982,0.00907061400945916
"2231","Rv0890c",-0.298062256840073,0.00434981600427651
